country	review_text	taste	varieta
china	Fast delivery, good packaging, do not have to worry about breaking. The bottle is really nice. Wine tastes good		port
china	I actually do not use it! ! ! Oh my god! ! Not happy...		port
china	Very bad drink, sour, bad entrance, cork also half opened and broken		port
china	The first time to drink semi-sweet white wine, a bit sour and sweet, not quite accustomed to drinking! Near the city delivery is too slow, birthdays have been delivered only two days after delivery.		port
china	New Year's Day is cheap, taste is a little bit sour, and it costs a penny. The old man said yes.		port
china	The packaging is good, but the taste is generally good		port
china	The wine is more common, delivery delivery is very fast		port
china	Suspected to put expired or leaked! ! ! ! ! poor! ! !		port
china	Buy things on Amazon, authentic guaranteed, and cheap, fast delivery. I was studying wine, like the Virgin of this entry-level wine, dripping refreshing, suitable for the public. And, the price is very high.		port
china	The taste can be very awesome! Suggest that everyone buy!		port
china	Personally do not like sweet wine, medium aroma, not obvious enough, pineapple, lemon, short-term aftertaste, lack of energy, even after drinking the feeling of the top! Do not know why	pineapple lemonapple sweet short	port
china	I like the sweet feeling. I have already finished the review after drinking. This wine is really good. I recommend buying it.		port
china	It's awkward. Although it's cheap, it's not worth it.		port
china	The packaging was awesome and the airbags were tightly packed, but the mouthfeel was normal and the entrance was very light.		port
china	This white wine tastes very good, slightly bubbling, similar to the taste of champagne.		port
china	It's really cheap, it's too sour, and it tastes good		port
china	It seems to be a bit sour, I do not drink too much, so I feel this is not too sweet.		port
china	I bought it more than once. I like this semi-sweet type. The taste is more or less the absolute value of the orthodox, slightly sour, and no stress on the degree. It is better to drink and play. All aspects are more balanced and not too good, but not wrong		port
china	Slight sweetness, low alcohol content, suitable for women		port
china	This product is really not very good drink, and feel more than 10 pieces of wine, is not recommended to buy!		port
china	Buy this wine for the first time, taste it, drink it.		port
china	A very suitable table with a very neutral taste, sweet, love it!		port
china	Value-for-money wine for women who are not often red wine.		port
china	The bottle is very beautiful, filling in September 14th. . . Super good bird. . . .		port
china	The wine is not very well understood. The taste is sour and the mouth is very delicious.		port
china	Purely rushing the bottle seems to wait until the sisters get together! bottle		port
china	Like sweet wine this can, not very sweet is,,,,,,,,,,		port
china	Suitable for women who do not drink too much. High sweetness. Good taste after the ice.		port
china	Excessive alcohol taste, okay, after the cup to wash immediately there will be ants		port
china	A faint and refreshing feeling, this price is also very satisfactory. Get ready to buy more when you are ready for the New Year.		port
china	Sweet and sour, it is recommended to add ice. The wine is good, with more light food. I feel good.		port
china	It smells like sparkling wine but it tastes like beer		port
china	To be worthy of this price, I'm ready to set a box, to take him a few years to see, sour and soft spots are better		port
china	The first time I drank German-produced wine, I felt that the quality of the wine was a bit sweet. It may be the wine style. Overall it is OK.		port
china	Black wine for German wine, taste is very poor, it is not recommended to drink		port
china	The first drink sweet type, a bit too sweet, good entrance, but there is stamina.		port
china	High cost performance, sweet and sour taste, rich layering		port
china	From the packaging point of view, you can, did not drink, drink it and then go after it		port
china	The home bar is empty to buy a few bottles, and drink after a few years!		port
china	Particularly suitable for ladies to drink, tastes leveraged		port
china	The wine is not drinkable. The package is very good. Not bad.		port
china	The taste is not very good, like drinking soda, not good		port
china	Anyway, I'm not accustomed to it, one person has one taste.		port
china	Five stars are rarely given, but this time they are given. First of all, the packaging is very awesome, and the airbags are tightly packed; second, the mouthfeel is very good, the entrance is clear, there is a strong fruity fragrance; again, the price to the power, the price is less than 50 yuan, instead of buying domestic alcohol blending wine in the supermarket, I Would rather choose this.		port
china	Buy this bottle of wine just for everyone's sake. I don't like any wine. Little friends say something a bit cleaner than red wine. However, it is still difficult to drink wine. == I still like to drink fruit juice. The bottle is not as good as I thought. The paper is a bit unstably. Amazon's packaging is very strong, and it can be very safe to buy alcohol. The next time will come, but it should not be their own drink.		port
china	If you look at this, it's very popular. I don't know why. I don't know much about wine, but I feel like I drink it. I like sweet wine. Isn't the bottle standard? I couldn't finish the wine and I sealed it with a vacuum stopper.		port
china	It's really light, and it feels like a little bit of sparkling wine. My parents and I love it.		port
china	This white wine is easy to import, pure taste, much better than domestically produced wine. Become the lady's favorite on the table. Don't miss the last drop. Continue to buy it next time.		port
china	Can only say good, because it is a follow-up canning		port
china	A great bottle of wine. Strongly recommended to buy. Affordable, good taste, Ms. sweet.		port
china	it is good! Genuine! ! ! It's a German product, it's pure taste! ! !		port
china	The festival is better for the elderly who are not able to drink at home.		port
china	Personally liked, the degree is not high, some sweet.		port
china	If the original price is really 150¥, why should the poor ghost refuse the 45¥ bottle of special low-degree sweet fruity drink? It's suitable for the individual; the western blue bottles are all on sale.		port
china	Not very tasting wine, but this wine tastes relatively calm, not as sour as French wine, more suitable taste.		chardonnay port
china	Did not drink South Africa. Before ordering, check out South African wine and Nefert. Finally confirmed the Pinotage, because it is a characteristic grape variety in South Africa. The taste is very much liked. Use a professional description: This wine is ruby ​​red with purple edges. It contains ripe banana and cinnamon flavors. It is medium in bodied, well tannic and full of berry flavours.	cinnamonflavor berry ripe firm	chardonnay port
china	Activity price 61 bottles to buy, low tannins, lighter wine, bitter taste.		chardonnay port
china	Good drink! It's really good to drink. When I drank half a bottle directly on the same day, the speed is OK. The normal time is that the key is affordable and tasty. Friends can enjoy a meal.		port
china	It tastes good, if you just want a drink atmosphere, it is a good choice, affordable		port
china	Alcohol is not enough, drink like soda, taste can also		port
china	I drank half a bottle myself... I said that it was especially good to drink		port
china	Very good taste, very affordable, suitable for the whole family to party together		port
china	Sweet, but without losing the taste of wine, very good. The business service is also good, the communication is relatively smooth, and the feedback to my question is also very timely. Thank you!		port
china	No way, considering it from a cost-effective point of view, this is a good choice. It's better than the white bubbles I've been drinking before. Girls should love this taste.		port
china	The taste is good, family members like it very much and will buy it next time		port
china	Good drink, sweet, and it tastes good after the ice		port
china	The taste is very good, light fragrance, good taste after the ice		port
china	I like the taste of champagne, sweet and sour. pretty good.		port
china	The taste is very good, the packaging is very strong		port
china	"The taste is quite good, the level is relatively rich, the bubbles are moderate, the sweetness is high, the overall feeling of cherry acid and peach acid, the only drawback is the spiral mouth cover, open when there is no oak plug flying out of the ""squeak"" sound, experience degree There is a discount."	cherry peachrich sweet raw	port
china	"I really didn't think that ""Germany imported red wine Mario Muscart 5.5 degree champagne sparkling wine sparkling white wine 750ml"" will make friends so popular, saying that is the best kind of drink in all drinks, there are friends put Half a bottle, said to stay home to drink, haha, thank Mario Muscart for giving me confidence in front of friends, but also thank the merchants for the introduction of such a good product."		port
china	This is the second bottle bought. The first order arrived the next day and it was a little late this time. But the seller also called to confirm whether the goods were received. The service is very good		port
china	The actual place of origin is Valencia, Spain. The foam is delicate, the wine is sweet and sour when passing through the tongue, and it presents a certain degree of complexity when it comes to the tongue.		port
